nhs_england_region,date,new_deaths_with_positive_test,cumulative_deaths_with_positive_test,new_deaths_without_positive_test,cumulative_deaths_without_positive_test,new_deaths_total,cumulative_deaths_total,data_subject_to_change
East Of England,29/02/2020,0,0,0,0,0,0,FALSE
East Of England,01/03/2020,0,0,0,0,0,0,FALSE
East Of England,02/03/2020,1,1,0,0,1,1,FALSE
East Of England,03/03/2020,0,1,0,0,0,1,FALSE
East Of England,04/03/2020,0,1,0,0,0,1,FALSE
East Of England,05/03/2020,0,1,0,0,0,1,FALSE
East Of England,06/03/2020,1,2,0,0,1,2,FALSE
East Of England,07/03/2020,0,2,0,0,0,2,FALSE
East Of England,08/03/2020,0,2,0,0,0,2,FALSE
East Of England,09/03/2020,1,3,0,0,1,3,FALSE
East Of England,10/03/2020,0,3,0,0,0,3,FALSE
East Of England,11/03/2020,0,3,0,0,0,3,FALSE
East Of England,12/03/2020,0,3,0,0,0,3,FALSE
East Of England,13/03/2020,1,4,0,0,1,4,FALSE
East Of England,14/03/2020,2,6,0,0,2,6,FALSE
East Of England,15/03/2020,2,8,0,0,2,8,FALSE
East Of England,16/03/2020,1,9,0,0,1,9,FALSE
East Of England,17/03/2020,1,10,0,0,1,10,FALSE
East Of England,18/03/2020,5,15,0,0,5,15,FALSE
East Of England,19/03/2020,4,19,0,0,4,19,FALSE
East Of England,20/03/2020,2,21,0,0,2,21,FALSE
East Of England,21/03/2020,11,32,0,0,11,32,FALSE
East Of England,22/03/2020,12,44,0,0,12,44,FALSE
East Of England,23/03/2020,11,55,0,0,11,55,FALSE
East Of England,24/03/2020,19,74,0,0,19,74,FALSE
East Of England,25/03/2020,26,100,0,0,26,100,FALSE
East Of England,26/03/2020,36,136,0,0,36,136,FALSE
East Of England,27/03/2020,38,174,0,0,38,174,FALSE
East Of England,28/03/2020,28,202,0,0,28,202,FALSE
East Of England,29/03/2020,43,245,0,0,43,245,FALSE
East Of England,30/03/2020,46,291,1,1,47,292,FALSE
East Of England,31/03/2020,70,361,0,1,70,362,FALSE
East Of England,01/04/2020,63,424,0,1,63,425,FALSE
East Of England,02/04/2020,65,489,0,1,65,490,FALSE
East Of England,03/04/2020,80,569,0,1,80,570,FALSE
East Of England,04/04/2020,71,640,0,1,71,641,FALSE
East Of England,05/04/2020,76,716,0,1,76,717,FALSE
East Of England,06/04/2020,71,787,0,1,71,788,FALSE
East Of England,07/04/2020,93,880,0,1,93,881,FALSE
East Of England,08/04/2020,111,991,0,1,111,992,FALSE
East Of England,09/04/2020,87,1078,0,1,87,1079,FALSE
East Of England,10/04/2020,74,1152,0,1,74,1153,FALSE
East Of England,11/04/2020,92,1244,0,1,92,1245,FALSE
East Of England,12/04/2020,100,1344,0,1,100,1345,FALSE
East Of England,13/04/2020,78,1422,0,1,78,1423,FALSE
East Of England,14/04/2020,61,1483,0,1,61,1484,FALSE
East Of England,15/04/2020,82,1565,0,1,82,1566,FALSE
East Of England,16/04/2020,74,1639,0,1,74,1640,FALSE
East Of England,17/04/2020,86,1725,0,1,86,1726,FALSE
East Of England,18/04/2020,64,1789,0,1,64,1790,FALSE
East Of England,19/04/2020,67,1856,0,1,67,1857,FALSE
East Of England,20/04/2020,67,1923,0,1,67,1924,FALSE
