nhs_england_region,date,new_deaths_with_positive_test,cumulative_deaths_with_positive_test,new_deaths_without_positive_test,cumulative_deaths_without_positive_test,new_deaths_total,cumulative_deaths_total,data_subject_to_change
North East And Yorkshire,29/02/2020,0,0,0,0,0,0,FALSE
North East And Yorkshire,01/03/2020,0,0,0,0,0,0,FALSE
North East And Yorkshire,02/03/2020,0,0,0,0,0,0,FALSE
North East And Yorkshire,03/03/2020,0,0,0,0,0,0,FALSE
North East And Yorkshire,04/03/2020,0,0,0,0,0,0,FALSE
North East And Yorkshire,05/03/2020,0,0,0,0,0,0,FALSE
North East And Yorkshire,06/03/2020,0,0,0,0,0,0,FALSE
North East And Yorkshire,07/03/2020,0,0,0,0,0,0,FALSE
North East And Yorkshire,08/03/2020,0,0,0,0,0,0,FALSE
North East And Yorkshire,09/03/2020,0,0,0,0,0,0,FALSE
North East And Yorkshire,10/03/2020,0,0,0,0,0,0,FALSE
North East And Yorkshire,11/03/2020,0,0,0,0,0,0,FALSE
North East And Yorkshire,12/03/2020,0,0,0,0,0,0,FALSE
North East And Yorkshire,13/03/2020,0,0,0,0,0,0,FALSE
North East And Yorkshire,14/03/2020,0,0,0,0,0,0,FALSE
North East And Yorkshire,15/03/2020,2,2,0,0,2,2,FALSE
North East And Yorkshire,16/03/2020,3,5,0,0,3,5,FALSE
North East And Yorkshire,17/03/2020,1,6,0,0,1,6,FALSE
North East And Yorkshire,18/03/2020,2,8,0,0,2,8,FALSE
North East And Yorkshire,19/03/2020,6,14,0,0,6,14,FALSE
North East And Yorkshire,20/03/2020,5,19,0,0,5,19,FALSE
North East And Yorkshire,21/03/2020,6,25,0,0,6,25,FALSE
North East And Yorkshire,22/03/2020,7,32,0,0,7,32,FALSE
North East And Yorkshire,23/03/2020,9,41,0,0,9,41,FALSE
North East And Yorkshire,24/03/2020,8,49,0,0,8,49,FALSE
North East And Yorkshire,25/03/2020,18,67,0,0,18,67,FALSE
North East And Yorkshire,26/03/2020,21,88,0,0,21,88,FALSE
North East And Yorkshire,27/03/2020,28,116,0,0,28,116,FALSE
North East And Yorkshire,28/03/2020,35,151,0,0,35,151,FALSE
North East And Yorkshire,29/03/2020,38,189,0,0,38,189,FALSE
North East And Yorkshire,30/03/2020,64,253,0,0,64,253,FALSE
North East And Yorkshire,31/03/2020,60,313,0,0,60,313,FALSE
North East And Yorkshire,01/04/2020,67,380,0,0,67,380,FALSE
North East And Yorkshire,02/04/2020,75,455,0,0,75,455,FALSE
North East And Yorkshire,03/04/2020,100,555,0,0,100,555,FALSE
North East And Yorkshire,04/04/2020,105,660,0,0,105,660,FALSE
North East And Yorkshire,05/04/2020,92,752,0,0,92,752,FALSE
North East And Yorkshire,06/04/2020,96,848,0,0,96,848,FALSE
North East And Yorkshire,07/04/2020,102,950,0,0,102,950,FALSE
North East And Yorkshire,08/04/2020,108,1058,0,0,108,1058,FALSE
North East And Yorkshire,09/04/2020,111,1169,0,0,111,1169,FALSE
North East And Yorkshire,10/04/2020,117,1286,0,0,117,1286,FALSE
North East And Yorkshire,11/04/2020,98,1384,0,0,98,1384,FALSE
North East And Yorkshire,12/04/2020,84,1468,0,0,84,1468,FALSE
North East And Yorkshire,13/04/2020,94,1562,0,0,94,1562,FALSE
North East And Yorkshire,14/04/2020,107,1669,0,0,107,1669,FALSE
North East And Yorkshire,15/04/2020,96,1765,0,0,96,1765,FALSE
North East And Yorkshire,16/04/2020,103,1868,0,0,103,1868,FALSE
North East And Yorkshire,17/04/2020,88,1956,0,0,88,1956,FALSE
North East And Yorkshire,18/04/2020,95,2051,0,0,95,2051,FALSE
North East And Yorkshire,19/04/2020,88,2139,0,0,88,2139,FALSE
North East And Yorkshire,20/04/2020,100,2239,0,0,100,2239,FALSE
North East And Yorkshire,21/04/2020,76,2315,0,0,76,2315,FALSE
North East And Yorkshire,22/04/2020,84,2399,0,0,84,2399,FALSE
North East And Yorkshire,23/04/2020,63,2462,0,0,63,2462,FALSE
North East And Yorkshire,24/04/2020,72,2534,1,1,73,2535,FALSE
North East And Yorkshire,25/04/2020,69,2603,0,1,69,2604,FALSE
North East And Yorkshire,26/04/2020,65,2668,0,1,65,2669,FALSE
North East And Yorkshire,27/04/2020,65,2733,2,3,67,2736,FALSE
North East And Yorkshire,28/04/2020,57,2790,4,7,61,2797,FALSE
North East And Yorkshire,29/04/2020,69,2859,4,11,73,2870,FALSE
North East And Yorkshire,30/04/2020,57,2916,4,15,61,2931,FALSE
North East And Yorkshire,01/05/2020,64,2980,5,20,69,3000,FALSE
North East And Yorkshire,02/05/2020,48,3028,5,25,53,3053,FALSE
North East And Yorkshire,03/05/2020,40,3068,2,27,42,3095,FALSE
North East And Yorkshire,04/05/2020,49,3117,2,29,51,3146,FALSE
North East And Yorkshire,05/05/2020,40,3157,4,33,44,3190,FALSE
North East And Yorkshire,06/05/2020,52,3209,4,37,56,3246,FALSE
North East And Yorkshire,07/05/2020,45,3254,3,40,48,3294,FALSE
North East And Yorkshire,08/05/2020,42,3296,4,44,46,3340,FALSE
North East And Yorkshire,09/05/2020,44,3340,1,45,45,3385,FALSE
North East And Yorkshire,10/05/2020,40,3380,1,46,41,3426,FALSE
North East And Yorkshire,11/05/2020,29,3409,5,51,34,3460,FALSE
North East And Yorkshire,12/05/2020,27,3436,1,52,28,3488,FALSE
North East And Yorkshire,13/05/2020,28,3464,3,55,31,3519,FALSE
North East And Yorkshire,14/05/2020,31,3495,1,56,32,3551,FALSE
North East And Yorkshire,15/05/2020,32,3527,3,59,35,3586,FALSE
North East And Yorkshire,16/05/2020,35,3562,2,61,37,3623,FALSE
North East And Yorkshire,17/05/2020,26,3588,1,62,27,3650,FALSE
North East And Yorkshire,18/05/2020,30,3618,4,66,34,3684,FALSE
North East And Yorkshire,19/05/2020,27,3645,2,68,29,3713,FALSE
North East And Yorkshire,20/05/2020,22,3667,2,70,24,3737,FALSE
North East And Yorkshire,21/05/2020,33,3700,3,73,36,3773,FALSE
North East And Yorkshire,22/05/2020,22,3722,5,78,27,3800,FALSE
North East And Yorkshire,23/05/2020,18,3740,0,78,18,3818,FALSE
North East And Yorkshire,24/05/2020,26,3766,4,82,30,3848,FALSE
North East And Yorkshire,25/05/2020,21,3787,1,83,22,3870,FALSE
North East And Yorkshire,26/05/2020,21,3808,0,83,21,3891,FALSE
North East And Yorkshire,27/05/2020,23,3831,1,84,24,3915,FALSE
North East And Yorkshire,28/05/2020,21,3852,6,90,27,3942,FALSE
North East And Yorkshire,29/05/2020,25,3877,2,92,27,3969,FALSE
North East And Yorkshire,30/05/2020,20,3897,3,95,23,3992,FALSE
North East And Yorkshire,31/05/2020,20,3917,1,96,21,4013,FALSE
North East And Yorkshire,01/06/2020,17,3934,0,96,17,4030,FALSE
North East And Yorkshire,02/06/2020,23,3957,3,99,26,4056,FALSE
North East And Yorkshire,03/06/2020,24,3981,2,101,26,4082,FALSE
North East And Yorkshire,04/06/2020,17,3998,2,103,19,4101,FALSE
North East And Yorkshire,05/06/2020,18,4016,2,105,20,4121,FALSE
North East And Yorkshire,06/06/2020,21,4037,1,106,22,4143,FALSE
North East And Yorkshire,07/06/2020,14,4051,0,106,14,4157,FALSE
North East And Yorkshire,08/06/2020,11,4062,2,108,13,4170,FALSE
North East And Yorkshire,09/06/2020,12,4074,3,111,15,4185,FALSE
North East And Yorkshire,10/06/2020,19,4093,1,112,20,4205,FALSE
North East And Yorkshire,11/06/2020,7,4100,0,112,7,4212,FALSE
North East And Yorkshire,12/06/2020,9,4109,2,114,11,4223,FALSE
North East And Yorkshire,13/06/2020,10,4119,1,115,11,4234,FALSE
North East And Yorkshire,14/06/2020,11,4130,1,116,12,4246,FALSE
North East And Yorkshire,15/06/2020,9,4139,2,118,11,4257,FALSE
North East And Yorkshire,16/06/2020,10,4149,1,119,11,4268,FALSE
North East And Yorkshire,17/06/2020,9,4158,1,120,10,4278,FALSE
North East And Yorkshire,18/06/2020,11,4169,0,120,11,4289,FALSE
North East And Yorkshire,19/06/2020,6,4175,1,121,7,4296,FALSE
North East And Yorkshire,20/06/2020,5,4180,1,122,6,4302,FALSE
North East And Yorkshire,21/06/2020,4,4184,2,124,6,4308,FALSE
North East And Yorkshire,22/06/2020,7,4191,0,124,7,4315,FALSE
North East And Yorkshire,23/06/2020,8,4199,1,125,9,4324,FALSE
North East And Yorkshire,24/06/2020,10,4209,1,126,11,4335,FALSE
North East And Yorkshire,25/06/2020,4,4213,0,126,4,4339,FALSE
North East And Yorkshire,26/06/2020,8,4221,1,127,9,4348,FALSE
North East And Yorkshire,27/06/2020,4,4225,0,127,4,4352,FALSE
North East And Yorkshire,28/06/2020,5,4230,1,128,6,4358,FALSE
North East And Yorkshire,29/06/2020,2,4232,1,129,3,4361,FALSE
North East And Yorkshire,30/06/2020,7,4239,0,129,7,4368,FALSE
North East And Yorkshire,01/07/2020,1,4240,1,130,2,4370,FALSE
North East And Yorkshire,02/07/2020,5,4245,1,131,6,4376,FALSE
North East And Yorkshire,03/07/2020,4,4249,1,132,5,4381,FALSE
North East And Yorkshire,04/07/2020,4,4253,1,133,5,4386,FALSE
North East And Yorkshire,05/07/2020,3,4256,2,135,5,4391,FALSE
North East And Yorkshire,06/07/2020,2,4258,0,135,2,4393,FALSE
North East And Yorkshire,07/07/2020,3,4261,0,135,3,4396,FALSE
North East And Yorkshire,08/07/2020,3,4264,1,136,4,4400,FALSE
North East And Yorkshire,09/07/2020,0,4264,0,136,0,4400,FALSE
North East And Yorkshire,10/07/2020,3,4267,1,137,4,4404,FALSE
North East And Yorkshire,11/07/2020,1,4268,1,138,2,4406,FALSE
North East And Yorkshire,12/07/2020,4,4272,0,138,4,4410,FALSE
North East And Yorkshire,13/07/2020,1,4273,1,139,2,4412,FALSE
North East And Yorkshire,14/07/2020,1,4274,3,142,4,4416,FALSE
North East And Yorkshire,15/07/2020,2,4276,2,144,4,4420,FALSE
North East And Yorkshire,16/07/2020,3,4279,0,144,3,4423,FALSE
North East And Yorkshire,17/07/2020,1,4280,0,144,1,4424,FALSE
North East And Yorkshire,18/07/2020,2,4282,0,144,2,4426,FALSE
North East And Yorkshire,19/07/2020,2,4284,0,144,2,4428,FALSE
North East And Yorkshire,20/07/2020,1,4285,0,144,1,4429,FALSE
North East And Yorkshire,21/07/2020,1,4286,0,144,1,4430,FALSE
North East And Yorkshire,22/07/2020,6,4292,2,146,8,4438,FALSE
North East And Yorkshire,23/07/2020,0,4292,1,147,1,4439,FALSE
North East And Yorkshire,24/07/2020,1,4293,0,147,1,4440,FALSE
North East And Yorkshire,25/07/2020,5,4298,1,148,6,4446,FALSE
North East And Yorkshire,26/07/2020,1,4299,1,149,2,4448,FALSE
North East And Yorkshire,27/07/2020,0,4299,2,151,2,4450,FALSE
North East And Yorkshire,28/07/2020,2,4301,0,151,2,4452,FALSE
North East And Yorkshire,29/07/2020,1,4302,3,154,4,4456,FALSE
North East And Yorkshire,30/07/2020,0,4302,0,154,0,4456,FALSE
North East And Yorkshire,31/07/2020,1,4303,0,154,1,4457,FALSE
North East And Yorkshire,01/08/2020,3,4306,0,154,3,4460,FALSE
North East And Yorkshire,02/08/2020,2,4308,0,154,2,4462,FALSE
North East And Yorkshire,03/08/2020,1,4309,0,154,1,4463,FALSE
North East And Yorkshire,04/08/2020,3,4312,0,154,3,4466,FALSE
North East And Yorkshire,05/08/2020,1,4313,0,154,1,4467,FALSE
North East And Yorkshire,06/08/2020,4,4317,0,154,4,4471,FALSE
North East And Yorkshire,07/08/2020,0,4317,0,154,0,4471,FALSE
