nhs_england_region,date,new_deaths_with_positive_test,cumulative_deaths_with_positive_test,new_deaths_without_positive_test,cumulative_deaths_without_positive_test,new_deaths_total,cumulative_deaths_total,data_subject_to_change
North West,29/02/2020,0,0,0,0,0,0,FALSE
North West,01/03/2020,0,0,0,0,0,0,FALSE
North West,02/03/2020,0,0,0,0,0,0,FALSE
North West,03/03/2020,0,0,0,0,0,0,FALSE
North West,04/03/2020,0,0,0,0,0,0,FALSE
North West,05/03/2020,1,1,0,0,1,1,FALSE
North West,06/03/2020,0,1,0,0,0,1,FALSE
North West,07/03/2020,0,1,0,0,0,1,FALSE
North West,08/03/2020,1,2,0,0,1,2,FALSE
North West,09/03/2020,0,2,0,0,0,2,FALSE
North West,10/03/2020,0,2,0,0,0,2,FALSE
North West,11/03/2020,0,2,0,0,0,2,FALSE
North West,12/03/2020,2,4,0,0,2,4,FALSE
North West,13/03/2020,3,7,0,0,3,7,FALSE
North West,14/03/2020,1,8,0,0,1,8,FALSE
North West,15/03/2020,4,12,0,0,4,12,FALSE
North West,16/03/2020,2,14,0,0,2,14,FALSE
North West,17/03/2020,4,18,0,0,4,18,FALSE
North West,18/03/2020,6,24,0,0,6,24,FALSE
North West,19/03/2020,7,31,0,0,7,31,FALSE
North West,20/03/2020,10,41,0,0,10,41,FALSE
North West,21/03/2020,11,52,0,0,11,52,FALSE
North West,22/03/2020,13,65,0,0,13,65,FALSE
North West,23/03/2020,15,80,0,0,15,80,FALSE
North West,24/03/2020,21,101,0,0,21,101,FALSE
North West,25/03/2020,21,122,0,0,21,122,FALSE
North West,26/03/2020,29,151,0,0,29,151,FALSE
North West,27/03/2020,36,187,0,0,36,187,FALSE
North West,28/03/2020,28,215,0,0,28,215,FALSE
North West,29/03/2020,46,261,0,0,46,261,FALSE
North West,30/03/2020,67,328,0,0,67,328,FALSE
North West,31/03/2020,52,380,0,0,52,380,FALSE
North West,01/04/2020,86,466,0,0,86,466,FALSE
North West,02/04/2020,96,562,0,0,96,562,FALSE
North West,03/04/2020,95,657,0,0,95,657,FALSE
North West,04/04/2020,98,755,0,0,98,755,FALSE
North West,05/04/2020,102,857,0,0,102,857,FALSE
North West,06/04/2020,100,957,0,0,100,957,FALSE
North West,07/04/2020,136,1093,0,0,136,1093,FALSE
North West,08/04/2020,127,1220,0,0,127,1220,FALSE
North West,09/04/2020,119,1339,0,0,119,1339,FALSE
North West,10/04/2020,117,1456,0,0,117,1456,FALSE
North West,11/04/2020,139,1595,0,0,139,1595,FALSE
North West,12/04/2020,125,1720,0,0,125,1720,FALSE
North West,13/04/2020,130,1850,0,0,130,1850,FALSE
North West,14/04/2020,130,1980,1,1,131,1981,FALSE
North West,15/04/2020,114,2094,0,1,114,2095,FALSE
North West,16/04/2020,135,2229,0,1,135,2230,FALSE
