nhs_england_region,date,new_deaths_with_positive_test,cumulative_deaths_with_positive_test,new_deaths_without_positive_test,cumulative_deaths_without_positive_test,new_deaths_total,cumulative_deaths_total,data_subject_to_change
London,29/02/2020,0,0,0,0,0,0,FALSE
London,01/03/2020,0,0,0,0,0,0,FALSE
London,02/03/2020,0,0,0,0,0,0,FALSE
London,03/03/2020,0,0,0,0,0,0,FALSE
London,04/03/2020,0,0,0,0,0,0,FALSE
London,05/03/2020,0,0,0,0,0,0,FALSE
London,06/03/2020,1,1,0,0,1,1,FALSE
London,07/03/2020,0,1,0,0,0,1,FALSE
London,08/03/2020,0,1,0,0,0,1,FALSE
London,09/03/2020,1,2,0,0,1,2,FALSE
London,10/03/2020,0,2,0,0,0,2,FALSE
London,11/03/2020,5,7,0,0,5,7,FALSE
London,12/03/2020,6,13,0,0,6,13,FALSE
London,13/03/2020,10,23,0,0,10,23,FALSE
London,14/03/2020,13,36,0,0,13,36,FALSE
London,15/03/2020,9,45,0,0,9,45,FALSE
London,16/03/2020,15,60,0,0,15,60,FALSE
London,17/03/2020,23,83,0,0,23,83,FALSE
London,18/03/2020,28,111,0,0,28,111,FALSE
London,19/03/2020,25,136,0,0,25,136,FALSE
London,20/03/2020,44,180,0,0,44,180,FALSE
London,21/03/2020,49,229,0,0,49,229,FALSE
London,22/03/2020,54,283,0,0,54,283,FALSE
London,23/03/2020,63,346,0,0,63,346,FALSE
London,24/03/2020,86,432,0,0,86,432,FALSE
London,25/03/2020,112,544,0,0,112,544,FALSE
London,26/03/2020,130,674,0,0,130,674,FALSE
London,27/03/2020,130,804,0,0,130,804,FALSE
London,28/03/2020,123,927,0,0,123,927,FALSE
London,29/03/2020,145,1072,0,0,145,1072,FALSE
London,30/03/2020,151,1223,0,0,151,1223,FALSE
London,31/03/2020,183,1406,0,0,183,1406,FALSE
London,01/04/2020,202,1608,0,0,202,1608,FALSE
London,02/04/2020,190,1798,0,0,190,1798,FALSE
London,03/04/2020,199,1997,0,0,199,1997,FALSE
London,04/04/2020,231,2228,0,0,231,2228,FALSE
London,05/04/2020,195,2423,0,0,195,2423,FALSE
London,06/04/2020,198,2621,0,0,198,2621,FALSE
London,07/04/2020,220,2841,0,0,220,2841,FALSE
London,08/04/2020,239,3080,0,0,239,3080,FALSE
London,09/04/2020,207,3287,0,0,207,3287,FALSE
London,10/04/2020,171,3458,0,0,171,3458,FALSE
London,11/04/2020,179,3637,0,0,179,3637,FALSE
London,12/04/2020,159,3796,0,0,159,3796,FALSE
London,13/04/2020,166,3962,0,0,166,3962,FALSE
London,14/04/2020,143,4105,0,0,143,4105,FALSE
London,15/04/2020,143,4248,2,2,145,4250,FALSE
London,16/04/2020,140,4388,0,2,140,4390,FALSE
London,17/04/2020,101,4489,0,2,101,4491,FALSE
London,18/04/2020,101,4590,0,2,101,4592,FALSE
London,19/04/2020,104,4694,0,2,104,4696,FALSE
London,20/04/2020,96,4790,0,2,96,4792,FALSE
London,21/04/2020,96,4886,0,2,96,4888,FALSE
London,22/04/2020,109,4995,0,2,109,4997,FALSE
London,23/04/2020,77,5072,0,2,77,5074,FALSE
London,24/04/2020,71,5143,8,10,79,5153,FALSE
London,25/04/2020,58,5201,9,19,67,5220,FALSE
London,26/04/2020,53,5254,8,27,61,5281,FALSE
London,27/04/2020,52,5306,7,34,59,5340,FALSE
London,28/04/2020,44,5350,6,40,50,5390,FALSE
London,29/04/2020,45,5395,11,51,56,5446,FALSE
London,30/04/2020,40,5435,9,60,49,5495,FALSE
London,01/05/2020,41,5476,6,66,47,5542,FALSE
London,02/05/2020,41,5517,8,74,49,5591,FALSE
London,03/05/2020,36,5553,10,84,46,5637,FALSE
London,04/05/2020,30,5583,7,91,37,5674,FALSE
London,05/05/2020,25,5608,7,98,32,5706,FALSE
London,06/05/2020,37,5645,9,107,46,5752,FALSE
London,07/05/2020,37,5682,6,113,43,5795,FALSE
London,08/05/2020,31,5713,4,117,35,5830,FALSE
London,09/05/2020,23,5736,2,119,25,5855,FALSE
London,10/05/2020,26,5762,4,123,30,5885,FALSE
London,11/05/2020,18,5780,10,133,28,5913,FALSE
London,12/05/2020,18,5798,5,138,23,5936,FALSE
London,13/05/2020,17,5815,1,139,18,5954,FALSE
London,14/05/2020,20,5835,2,141,22,5976,FALSE
London,15/05/2020,19,5854,7,148,26,6002,FALSE
London,16/05/2020,14,5868,3,151,17,6019,FALSE
London,17/05/2020,16,5884,3,154,19,6038,FALSE
London,18/05/2020,11,5895,3,157,14,6052,FALSE
London,19/05/2020,14,5909,2,159,16,6068,FALSE
London,20/05/2020,19,5928,5,164,24,6092,FALSE
London,21/05/2020,12,5940,1,165,13,6105,FALSE
London,22/05/2020,10,5950,2,167,12,6117,FALSE
London,23/05/2020,6,5956,3,170,9,6126,FALSE
London,24/05/2020,7,5963,4,174,11,6137,FALSE
London,25/05/2020,9,5972,1,175,10,6147,FALSE
London,26/05/2020,14,5986,5,180,19,6166,FALSE
London,27/05/2020,7,5993,2,182,9,6175,FALSE
London,28/05/2020,8,6001,2,184,10,6185,FALSE
London,29/05/2020,7,6008,1,185,8,6193,FALSE
London,30/05/2020,12,6020,1,186,13,6206,FALSE
London,31/05/2020,6,6026,3,189,9,6215,FALSE
London,01/06/2020,10,6036,2,191,12,6227,FALSE
London,02/06/2020,8,6044,1,192,9,6236,FALSE
London,03/06/2020,6,6050,0,192,6,6242,FALSE
London,04/06/2020,8,6058,1,193,9,6251,FALSE
London,05/06/2020,4,6062,1,194,5,6256,FALSE
London,06/06/2020,0,6062,3,197,3,6259,FALSE
London,07/06/2020,5,6067,2,199,7,6266,FALSE
London,08/06/2020,5,6072,0,199,5,6271,FALSE
London,09/06/2020,5,6077,1,200,6,6277,FALSE
London,10/06/2020,8,6085,1,201,9,6286,FALSE
London,11/06/2020,5,6090,0,201,5,6291,FALSE
London,12/06/2020,3,6093,2,203,5,6296,FALSE
London,13/06/2020,3,6096,2,205,5,6301,FALSE
London,14/06/2020,3,6099,1,206,4,6305,FALSE
London,15/06/2020,1,6100,0,206,1,6306,FALSE
London,16/06/2020,2,6102,0,206,2,6308,FALSE
London,17/06/2020,1,6103,2,208,3,6311,FALSE
London,18/06/2020,2,6105,0,208,2,6313,FALSE
London,19/06/2020,5,6110,1,209,6,6319,FALSE
London,20/06/2020,3,6113,1,210,4,6323,FALSE
London,21/06/2020,4,6117,0,210,4,6327,FALSE
London,22/06/2020,2,6119,0,210,2,6329,FALSE
London,23/06/2020,1,6120,1,211,2,6331,FALSE
London,24/06/2020,4,6124,0,211,4,6335,FALSE
London,25/06/2020,3,6127,2,213,5,6340,FALSE
London,26/06/2020,2,6129,1,214,3,6343,FALSE
London,27/06/2020,1,6130,0,214,1,6344,FALSE
London,28/06/2020,2,6132,1,215,3,6347,FALSE
London,29/06/2020,2,6134,1,216,3,6350,FALSE
London,30/06/2020,1,6135,2,218,3,6353,FALSE
London,01/07/2020,3,6138,1,219,4,6357,FALSE
London,02/07/2020,2,6140,2,221,4,6361,FALSE
London,03/07/2020,2,6142,1,222,3,6364,FALSE
