nhs_england_region,date,new_deaths_with_positive_test,cumulative_deaths_with_positive_test,new_deaths_without_positive_test,cumulative_deaths_without_positive_test,new_deaths_total,cumulative_deaths_total,data_subject_to_change
Midlands,29/02/2020,0,0,0,0,0,0,FALSE
Midlands,01/03/2020,0,0,0,0,0,0,FALSE
Midlands,02/03/2020,0,0,0,0,0,0,FALSE
Midlands,03/03/2020,1,1,0,0,1,1,FALSE
Midlands,04/03/2020,0,1,0,0,0,1,FALSE
Midlands,05/03/2020,0,1,0,0,0,1,FALSE
Midlands,06/03/2020,0,1,0,0,0,1,FALSE
Midlands,07/03/2020,0,1,0,0,0,1,FALSE
Midlands,08/03/2020,2,3,0,0,2,3,FALSE
Midlands,09/03/2020,1,4,0,0,1,4,FALSE
Midlands,10/03/2020,0,4,0,0,0,4,FALSE
Midlands,11/03/2020,2,6,0,0,2,6,FALSE
Midlands,12/03/2020,6,12,0,0,6,12,FALSE
Midlands,13/03/2020,5,17,0,0,5,17,FALSE
Midlands,14/03/2020,4,21,0,0,4,21,FALSE
Midlands,15/03/2020,5,26,0,0,5,26,FALSE
Midlands,16/03/2020,11,37,0,0,11,37,FALSE
Midlands,17/03/2020,8,45,0,0,8,45,FALSE
Midlands,18/03/2020,13,58,0,0,13,58,FALSE
Midlands,19/03/2020,8,66,0,0,8,66,FALSE
Midlands,20/03/2020,28,94,0,0,28,94,FALSE
Midlands,21/03/2020,13,107,0,0,13,107,FALSE
Midlands,22/03/2020,31,138,0,0,31,138,FALSE
Midlands,23/03/2020,33,171,0,0,33,171,FALSE
Midlands,24/03/2020,41,212,0,0,41,212,FALSE
Midlands,25/03/2020,48,260,0,0,48,260,FALSE
Midlands,26/03/2020,64,324,0,0,64,324,FALSE
Midlands,27/03/2020,72,396,0,0,72,396,FALSE
Midlands,28/03/2020,89,485,0,0,89,485,FALSE
Midlands,29/03/2020,92,577,0,0,92,577,FALSE
Midlands,30/03/2020,90,667,0,0,90,667,FALSE
Midlands,31/03/2020,123,790,1,1,124,791,FALSE
Midlands,01/04/2020,140,930,0,1,140,931,FALSE
Midlands,02/04/2020,142,1072,0,1,142,1073,FALSE
Midlands,03/04/2020,124,1196,0,1,124,1197,FALSE
Midlands,04/04/2020,151,1347,0,1,151,1348,FALSE
Midlands,05/04/2020,164,1511,2,3,166,1514,FALSE
Midlands,06/04/2020,140,1651,0,3,140,1654,FALSE
Midlands,07/04/2020,123,1774,0,3,123,1777,FALSE
Midlands,08/04/2020,186,1960,1,4,187,1964,FALSE
Midlands,09/04/2020,140,2100,0,4,140,2104,FALSE
Midlands,10/04/2020,127,2227,0,4,127,2231,FALSE
Midlands,11/04/2020,142,2369,0,4,142,2373,FALSE
Midlands,12/04/2020,139,2508,1,5,140,2513,FALSE
Midlands,13/04/2020,121,2629,0,5,121,2634,FALSE
Midlands,14/04/2020,116,2745,0,5,116,2750,FALSE
Midlands,15/04/2020,147,2892,0,5,147,2897,FALSE
Midlands,16/04/2020,102,2994,0,5,102,2999,FALSE
Midlands,17/04/2020,118,3112,0,5,118,3117,FALSE
Midlands,18/04/2020,115,3227,0,5,115,3232,FALSE
Midlands,19/04/2020,93,3320,0,5,93,3325,FALSE
Midlands,20/04/2020,107,3427,1,6,108,3433,FALSE
Midlands,21/04/2020,87,3514,0,6,87,3520,FALSE
Midlands,22/04/2020,78,3592,0,6,78,3598,FALSE
Midlands,23/04/2020,103,3695,0,6,103,3701,FALSE
Midlands,24/04/2020,79,3774,4,10,83,3784,FALSE
Midlands,25/04/2020,72,3846,2,12,74,3858,FALSE
Midlands,26/04/2020,81,3927,6,18,87,3945,FALSE
Midlands,27/04/2020,74,4001,8,26,82,4027,FALSE
Midlands,28/04/2020,68,4069,5,31,73,4100,FALSE
Midlands,29/04/2020,53,4122,7,38,60,4160,FALSE
Midlands,30/04/2020,56,4178,1,39,57,4217,FALSE
Midlands,01/05/2020,65,4243,4,43,69,4286,FALSE
Midlands,02/05/2020,51,4294,4,47,55,4341,FALSE
Midlands,03/05/2020,52,4346,2,49,54,4395,FALSE
Midlands,04/05/2020,61,4407,9,58,70,4465,FALSE
Midlands,05/05/2020,59,4466,2,60,61,4526,FALSE
Midlands,06/05/2020,59,4525,7,67,66,4592,FALSE
Midlands,07/05/2020,48,4573,4,71,52,4644,FALSE
Midlands,08/05/2020,34,4607,7,78,41,4685,FALSE
Midlands,09/05/2020,37,4644,3,81,40,4725,FALSE
Midlands,10/05/2020,42,4686,3,84,45,4770,FALSE
Midlands,11/05/2020,33,4719,2,86,35,4805,FALSE
Midlands,12/05/2020,45,4764,11,97,56,4861,FALSE
Midlands,13/05/2020,40,4804,5,102,45,4906,FALSE
Midlands,14/05/2020,39,4843,2,104,41,4947,FALSE
Midlands,15/05/2020,40,4883,3,107,43,4990,FALSE
Midlands,16/05/2020,34,4917,5,112,39,5029,FALSE
Midlands,17/05/2020,31,4948,2,114,33,5062,FALSE
Midlands,18/05/2020,37,4985,7,121,44,5106,FALSE
Midlands,19/05/2020,35,5020,9,130,44,5150,FALSE
Midlands,20/05/2020,36,5056,1,131,37,5187,FALSE
Midlands,21/05/2020,32,5088,6,137,38,5225,FALSE
Midlands,22/05/2020,27,5115,3,140,30,5255,FALSE
Midlands,23/05/2020,34,5149,2,142,36,5291,FALSE
Midlands,24/05/2020,20,5169,4,146,24,5315,FALSE
Midlands,25/05/2020,26,5195,2,148,28,5343,FALSE
Midlands,26/05/2020,33,5228,0,148,33,5376,FALSE
Midlands,27/05/2020,29,5257,1,149,30,5406,FALSE
Midlands,28/05/2020,28,5285,2,151,30,5436,FALSE
Midlands,29/05/2020,20,5305,4,155,24,5460,FALSE
Midlands,30/05/2020,21,5326,4,159,25,5485,FALSE
Midlands,31/05/2020,22,5348,5,164,27,5512,FALSE
Midlands,01/06/2020,20,5368,3,167,23,5535,FALSE
Midlands,02/06/2020,22,5390,3,170,25,5560,FALSE
Midlands,03/06/2020,24,5414,5,175,29,5589,FALSE
Midlands,04/06/2020,16,5430,3,178,19,5608,FALSE
Midlands,05/06/2020,21,5451,4,182,25,5633,FALSE
Midlands,06/06/2020,20,5471,4,186,24,5657,FALSE
Midlands,07/06/2020,17,5488,4,190,21,5678,FALSE
Midlands,08/06/2020,16,5504,3,193,19,5697,FALSE
Midlands,09/06/2020,18,5522,1,194,19,5716,FALSE
Midlands,10/06/2020,15,5537,6,200,21,5737,FALSE
Midlands,11/06/2020,13,5550,2,202,15,5752,FALSE
Midlands,12/06/2020,12,5562,2,204,14,5766,FALSE
Midlands,13/06/2020,6,5568,2,206,8,5774,FALSE
Midlands,14/06/2020,18,5586,3,209,21,5795,FALSE
Midlands,15/06/2020,12,5598,3,212,15,5810,FALSE
Midlands,16/06/2020,15,5613,2,214,17,5827,FALSE
Midlands,17/06/2020,11,5624,2,216,13,5840,FALSE
Midlands,18/06/2020,15,5639,3,219,18,5858,FALSE
Midlands,19/06/2020,10,5649,3,222,13,5871,FALSE
Midlands,20/06/2020,15,5664,2,224,17,5888,FALSE
Midlands,21/06/2020,14,5678,1,225,15,5903,FALSE
Midlands,22/06/2020,14,5692,1,226,15,5918,FALSE
Midlands,23/06/2020,16,5708,1,227,17,5935,FALSE
Midlands,24/06/2020,15,5723,1,228,16,5951,FALSE
Midlands,25/06/2020,19,5742,0,228,19,5970,FALSE
Midlands,26/06/2020,5,5747,3,231,8,5978,FALSE
Midlands,27/06/2020,5,5752,2,233,7,5985,FALSE
Midlands,28/06/2020,7,5759,0,233,7,5992,FALSE
Midlands,29/06/2020,6,5765,2,235,8,6000,FALSE
Midlands,30/06/2020,6,5771,3,238,9,6009,FALSE
Midlands,01/07/2020,7,5778,1,239,8,6017,FALSE
Midlands,02/07/2020,10,5788,0,239,10,6027,FALSE
Midlands,03/07/2020,4,5792,1,240,5,6032,FALSE
Midlands,04/07/2020,4,5796,0,240,4,6036,FALSE
Midlands,05/07/2020,6,5802,1,241,7,6043,FALSE
Midlands,06/07/2020,5,5807,0,241,5,6048,FALSE
