nhs_england_region,date,new_deaths_with_positive_test,cumulative_deaths_with_positive_test,new_deaths_without_positive_test,cumulative_deaths_without_positive_test,new_deaths_total,cumulative_deaths_total,data_subject_to_change
South East,29/02/2020,0,0,0,0,0,0,FALSE
South East,01/03/2020,0,0,0,0,0,0,FALSE
South East,02/03/2020,0,0,0,0,0,0,FALSE
South East,03/03/2020,1,1,0,0,1,1,FALSE
South East,04/03/2020,0,1,0,0,0,1,FALSE
South East,05/03/2020,1,2,0,0,1,2,FALSE
South East,06/03/2020,0,2,0,0,0,2,FALSE
South East,07/03/2020,0,2,0,0,0,2,FALSE
South East,08/03/2020,1,3,0,0,1,3,FALSE
South East,09/03/2020,1,4,0,0,1,4,FALSE
South East,10/03/2020,1,5,0,0,1,5,FALSE
South East,11/03/2020,1,6,0,0,1,6,FALSE
South East,12/03/2020,0,6,0,0,0,6,FALSE
South East,13/03/2020,1,7,0,0,1,7,FALSE
South East,14/03/2020,1,8,0,0,1,8,FALSE
South East,15/03/2020,5,13,0,0,5,13,FALSE
South East,16/03/2020,8,21,0,0,8,21,FALSE
South East,17/03/2020,7,28,0,0,7,28,FALSE
South East,18/03/2020,10,38,0,0,10,38,FALSE
South East,19/03/2020,9,47,0,0,9,47,FALSE
South East,20/03/2020,13,60,0,0,13,60,FALSE
South East,21/03/2020,7,67,0,0,7,67,FALSE
South East,22/03/2020,25,92,0,0,25,92,FALSE
South East,23/03/2020,20,112,0,0,20,112,FALSE
South East,24/03/2020,22,134,0,0,22,134,FALSE
South East,25/03/2020,29,163,0,0,29,163,FALSE
South East,26/03/2020,35,198,0,0,35,198,FALSE
South East,27/03/2020,36,234,0,0,36,234,FALSE
South East,28/03/2020,36,270,0,0,36,270,FALSE
South East,29/03/2020,55,325,0,0,55,325,FALSE
South East,30/03/2020,58,383,0,0,58,383,FALSE
South East,31/03/2020,65,448,0,0,65,448,FALSE
South East,01/04/2020,66,514,0,0,66,514,FALSE
South East,02/04/2020,55,569,0,0,55,569,FALSE
South East,03/04/2020,73,642,1,1,74,643,FALSE
South East,04/04/2020,80,722,0,1,80,723,FALSE
South East,05/04/2020,82,804,0,1,82,805,FALSE
South East,06/04/2020,88,892,0,1,88,893,FALSE
South East,07/04/2020,100,992,0,1,100,993,FALSE
South East,08/04/2020,83,1075,0,1,83,1076,FALSE
South East,09/04/2020,104,1179,0,1,104,1180,FALSE
South East,10/04/2020,88,1267,0,1,88,1268,FALSE
South East,11/04/2020,88,1355,0,1,88,1356,FALSE
South East,12/04/2020,88,1443,0,1,88,1444,FALSE
South East,13/04/2020,84,1527,0,1,84,1528,FALSE
South East,14/04/2020,65,1592,0,1,65,1593,FALSE
South East,15/04/2020,72,1664,0,1,72,1665,FALSE
South East,16/04/2020,56,1720,0,1,56,1721,FALSE
South East,17/04/2020,86,1806,0,1,86,1807,FALSE
South East,18/04/2020,57,1863,0,1,57,1864,FALSE
South East,19/04/2020,70,1933,0,1,70,1934,FALSE
South East,20/04/2020,87,2020,0,1,87,2021,FALSE
South East,21/04/2020,51,2071,0,1,51,2072,FALSE
South East,22/04/2020,54,2125,0,1,54,2126,FALSE
South East,23/04/2020,57,2182,0,1,57,2183,FALSE
South East,24/04/2020,64,2246,7,8,71,2254,FALSE
South East,25/04/2020,51,2297,5,13,56,2310,FALSE
South East,26/04/2020,51,2348,5,18,56,2366,FALSE
South East,27/04/2020,41,2389,4,22,45,2411,FALSE
South East,28/04/2020,40,2429,8,30,48,2459,FALSE
South East,29/04/2020,47,2476,6,36,53,2512,FALSE
South East,30/04/2020,29,2505,3,39,32,2544,FALSE
South East,01/05/2020,37,2542,5,44,42,2586,FALSE
South East,02/05/2020,36,2578,2,46,38,2624,FALSE
South East,03/05/2020,17,2595,9,55,26,2650,FALSE
South East,04/05/2020,35,2630,3,58,38,2688,FALSE
South East,05/05/2020,29,2659,3,61,32,2720,FALSE
South East,06/05/2020,25,2684,4,65,29,2749,FALSE
South East,07/05/2020,27,2711,2,67,29,2778,FALSE
South East,08/05/2020,26,2737,3,70,29,2807,FALSE
South East,09/05/2020,28,2765,4,74,32,2839,FALSE
South East,10/05/2020,19,2784,5,79,24,2863,FALSE
South East,11/05/2020,25,2809,1,80,26,2889,FALSE
South East,12/05/2020,27,2836,4,84,31,2920,FALSE
South East,13/05/2020,18,2854,4,88,22,2942,FALSE
South East,14/05/2020,32,2886,5,93,37,2979,FALSE
South East,15/05/2020,25,2911,3,96,28,3007,FALSE
South East,16/05/2020,22,2933,5,101,27,3034,FALSE
South East,17/05/2020,18,2951,6,107,24,3058,FALSE
South East,18/05/2020,23,2974,3,110,26,3084,FALSE
