Week starting,Week ending,Number of app downloads,Number of venues the app has sent alerts about,Number of NHS QR posters created,Cumulative number of app downloads,Cumulative number of 'at risk' venues triggering venue alerts,Cumulative number of NHS QR posters created
13/08/2020,19/08/2020,53060,0,401,53060,0,401
20/08/2020,26/08/2020,54105,0,521,107165,0,922
27/08/2020,02/09/2020,42535,0,408,149700,0,1330
03/09/2020,09/09/2020,35593,0,335,185293,0,1665
10/09/2020,16/09/2020,110072,0,24936,295365,0,26601
17/09/2020,23/09/2020,693280,0,200115,988645,0,226716
24/09/2020,30/09/2020,13437240,0,344921,14425885,0,571637
01/10/2020,07/10/2020,2067739,0,71543,16493624,0,643180
08/10/2020,14/10/2020,1166815,0,41269,17660439,0,684449
15/10/2020,21/10/2020,967113,0,28532,18627552,0,712981
22/10/2020,28/10/2020,573868,0,17012,19201420,0,729993
29/10/2020,04/11/2020,418834,0,13056,19620254,0,743049
05/11/2020,11/11/2020,185169,0,8048,19805423,0,751097
12/11/2020,18/11/2020,211459,0,4976,20016882,0,756073
19/11/2020,25/11/2020,152180,0,4005,20169062,0,760078
26/11/2020,02/12/2020,139320,0,6327,20308382,0,766405
03/12/2020,09/12/2020,186943,0,4918,20495325,0,771323
10/12/2020,16/12/2020,190294,28,3868,20685619,28,775191
17/12/2020,23/12/2020,176578,84,2770,20862197,112,777961
24/12/2020,30/12/2020,164835,41,1142,21027032,153,779103
31/12/2020,06/01/2021,174089,54,3106,21201121,207,782209
07/01/2021,13/01/2021,156979,19,2876,21358100,226,785085
14/01/2021,20/01/2021,121871,15,2053,21479971,241,787138
21/01/2021,27/01/2021,102032,12,1721,21582003,253,788859
28/01/2021,03/02/2021,86832,11,1651,21668835,264,790510
04/02/2021,10/02/2021,69292,3,1293,21738127,267,791803
11/02/2021,17/02/2021,69377,1,1194,21807504,268,792997
18/02/2021,24/02/2021,66252,4,1136,21873756,272,794133
25/02/2021,03/03/2021,69563,0,1261,21943319,272,795394
04/03/2021,10/03/2021,78258,1,1712,22021577,273,797106
11/03/2021,17/03/2021,61841,4,1449,22083418,277,798555
18/03/2021,24/03/2021,74931,0,2214,22158349,277,800769
25/03/2021,31/03/2021,66326,0,5552,22224675,277,806321
01/04/2021,07/04/2021,74536,5,18111,22299211,282,824432
08/04/2021,14/04/2021,280963,0,31118,22580174,282,855550
15/04/2021,21/04/2021,376039,11,11628,22956213,293,867178
22/04/2021,28/04/2021,306221,11,8859,23262434,304,876037
29/04/2021,05/05/2021,247667,3,6280,23510101,307,882317
06/05/2021,12/05/2021,207132,8,8450,23717233,315,890767
13/05/2021,19/05/2021,324211,17,14466,24041444,332,905233
20/05/2021,26/05/2021,434662,23,7854,24476106,355,913087
27/05/2021,02/06/2021,392095,102,4784,24868201,457,917871
03/06/2021,09/06/2021,322506,270,5448,25190707,727,923319
10/06/2021,16/06/2021,285207,467,5795,25475914,1194,929114
17/06/2021,23/06/2021,303362,352,6360,25779276,1546,935474
24/06/2021,30/06/2021,329747,496,5911,26109023,2042,941385
01/07/2021,07/07/2021,340658,1247,4896,26449681,3289,946281
08/07/2021,14/07/2021,301294,688,4289,26750975,3977,950570
15/07/2021,21/07/2021,296976,1992,6696,27047951,5969,957266
22/07/2021,28/07/2021,171394,789,3455,27219345,6758,960721
29/07/2021,04/08/2021,124627,757,2311,27343972,7515,963032
05/08/2021,11/08/2021,110548,1366,1752,27454520,8881,964784
12/08/2021,18/08/2021,102203,1432,1475,27556723,10313,966259
19/08/2021,25/08/2021,100534,1212,1267,27657257,11525,967526
26/08/2021,01/09/2021,104617,1139,1315,27761874,12664,968841
02/09/2021,08/09/2021,108098,1113,1507,27869972,13777,970348
09/09/2021,15/09/2021,105829,715,1374,27975801,14492,971722
16/09/2021,22/09/2021,105113,763,1252,28080914,15255,972974
23/09/2021,29/09/2021,97326,1045,1256,28178240,16300,974230
30/09/2021,06/10/2021,93457,1038,885,28271697,17338,975115
07/10/2021,13/10/2021,77393,1744,819,28349090,19082,975934
14/10/2021,20/10/2021,84564,1931,758,28433654,21013,976692
21/10/2021,27/10/2021,88256,2206,844,28521910,23219,977536
28/10/2021,03/11/2021,85817,2501,869,28607727,25720,978405
04/11/2021,10/11/2021,81329,1353,942,28689056,27073,979347
11/11/2021,17/11/2021,86559,1400,894,28775615,28473,980241
18/11/2021,24/11/2021,89275,1543,849,28864890,30016,981090
25/11/2021,01/12/2021,101476,1629,1570,28966366,31645,982660
02/12/2021,08/12/2021,117528,1424,1473,29083894,33069,984133
09/12/2021,15/12/2021,186125,2543,2240,29270019,35612,986373
16/12/2021,22/12/2021,187579,6270,1668,29457598,41882,988041
23/12/2021,29/12/2021,158380,6050,985,29615978,47932,989026
30/12/2021,05/01/2022,189554,4657,1121,29805532,52589,990147
06/01/2022,12/01/2022,150025,3881,997,29955557,56470,991144
13/01/2022,19/01/2022,107921,4888,734,30063478,61358,991878
20/01/2022,26/01/2022,90282,6278,619,30153760,67636,992497
27/01/2022,02/02/2022,77980,5589,494,30231740,73225,992991
03/02/2022,09/02/2022,70613,4219,489,30302353,77444,993480
10/02/2022,16/02/2022,59435,2811,373,30361788,80255,993853
17/02/2022,23/02/2022,50150,2082,306,30411938,82337,994159
24/02/2022,02/03/2022,42159,,,30454097,82337,994159
03/03/2022,09/03/2022,46203,,,30500300,82337,994159
10/03/2022,16/03/2022,55596,,,30555896,82337,994159
17/03/2022,23/03/2022,57972,,,30613868,82337,994159
24/03/2022,30/03/2022,59568,,,30673436,82337,994159
