Week starting,Week ending,new_downloads,new_deaths,cumulative_deaths,cumulative_downloads
13/08/2020,19/08/2020,53060,70,70,53060
20/08/2020,26/08/2020,54105,70,140,107165
27/08/2020,02/09/2020,42535,48,188,149700
03/09/2020,09/09/2020,35593,61,249,185293
10/09/2020,16/09/2020,110072,98,347,295365
17/09/2020,23/09/2020,693280,177,524,988645
24/09/2020,30/09/2020,13437240,253,777,14425885
01/10/2020,07/10/2020,2067739,341,1118,16493624
08/10/2020,14/10/2020,1166815,502,1620,17660439
15/10/2020,21/10/2020,967113,843,2463,18627552
22/10/2020,28/10/2020,573868,1163,3626,19201420
29/10/2020,04/11/2020,418834,1589,5215,19620254
05/11/2020,11/11/2020,185169,1874,7089,19805423
12/11/2020,18/11/2020,211459,2090,9179,20016882
19/11/2020,25/11/2020,152180,2228,11407,20169062
26/11/2020,02/12/2020,139320,2112,13519,20308382
03/12/2020,09/12/2020,186943,2062,15581,20495325
10/12/2020,16/12/2020,190294,2202,17783,20685619
17/12/2020,23/12/2020,176578,2637,20420,20862197
24/12/2020,30/12/2020,164835,3240,23660,21027032
31/12/2020,06/01/2021,174089,4078,27738,21201121
07/01/2021,13/01/2021,156979,5353,33091,21358100
14/01/2021,20/01/2021,121871,6048,39139,21479971
21/01/2021,27/01/2021,102032,5544,44683,21582003
28/01/2021,03/02/2021,86832,4587,49270,21668835
04/02/2021,10/02/2021,69292,3501,52771,21738127
11/02/2021,17/02/2021,69377,2779,55550,21807504
18/02/2021,24/02/2021,66252,1952,57502,21873756
25/02/2021,03/03/2021,69563,1351,58853,21943319
04/03/2021,10/03/2021,78258,951,59804,22021577
11/03/2021,17/03/2021,61841,657,60461,22083418
18/03/2021,24/03/2021,74931,438,60899,22158349
25/03/2021,31/03/2021,66326,282,61181,22224675
01/04/2021,07/04/2021,74536,214,61395,22299211
08/04/2021,14/04/2021,280963,212,61607,22580174
15/04/2021,21/04/2021,376039,145,61752,22956213
22/04/2021,28/04/2021,306221,120,61872,23262434
29/04/2021,05/05/2021,247667,90,61962,23510101
06/05/2021,12/05/2021,207132,60,62022,23717233
13/05/2021,19/05/2021,324211,45,62067,24041444
20/05/2021,26/05/2021,434662,53,62120,24476106
27/05/2021,02/06/2021,392095,62,62182,24868201
03/06/2021,09/06/2021,322506,57,62239,25190707
10/06/2021,16/06/2021,285207,67,62306,25475914
17/06/2021,23/06/2021,303362,78,62384,25779276
24/06/2021,30/06/2021,329747,112,62496,26109023
01/07/2021,07/07/2021,340658,135,62631,26449681
08/07/2021,14/07/2021,301294,194,62825,26750975
15/07/2021,21/07/2021,296976,305,63130,27047951
22/07/2021,28/07/2021,171394,382,63512,27219345
29/07/2021,04/08/2021,124627,447,63959,27343972
05/08/2021,11/08/2021,110548,454,64413,27454520
12/08/2021,18/08/2021,102203,509,64922,27556723
19/08/2021,25/08/2021,100534,597,65519,27657257
26/08/2021,01/09/2021,104617,617,66136,27761874
02/09/2021,08/09/2021,108098,700,66836,27869972
09/09/2021,15/09/2021,105829,661,67497,27975801
16/09/2021,22/09/2021,105113,660,68157,28080914
23/09/2021,29/09/2021,97326,565,68722,28178240
30/09/2021,06/10/2021,93457,502,69224,28271697
07/10/2021,13/10/2021,77393,524,69748,28349090
14/10/2021,20/10/2021,84564,645,70393,28433654
21/10/2021,27/10/2021,88256,736,71129,28521910
28/10/2021,03/11/2021,85817,828,71957,28607727
04/11/2021,10/11/2021,81329,767,72724,28689056
11/11/2021,17/11/2021,86559,715,73439,28775615
18/11/2021,24/11/2021,89275,629,74068,28864890
25/11/2021,01/12/2021,101476,632,74700,28966366
02/12/2021,08/12/2021,117528,666,75366,29083894
09/12/2021,15/12/2021,186125,623,75989,29270019
16/12/2021,22/12/2021,187579,631,76620,29457598
23/12/2021,29/12/2021,158380,666,77286,29615978
30/12/2021,05/01/2022,189554,908,78194,29805532
06/01/2022,12/01/2022,150025,1201,79395,29955557
13/01/2022,19/01/2022,107921,1170,80565,30063478
20/01/2022,26/01/2022,90282,1075,81640,30153760
27/01/2022,02/02/2022,77980,944,82584,30231740
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
