Date,South West,South East,North West,North East and Yorkshire,East of England,London,Midlands
Mar-20,160,448,380,313,362,1406,791
Apr-20,842,2096,2911,2618,2133,4089,3426
May-20,289,788,1132,1082,817,720,1295
Jun-20,63,289,451,355,237,138,497
Jul-20,12,131,146,89,77,52,136
Aug-20,7,43,99,54,29,23,42
Sep-20,9,54,218,125,25,70,104
Oct-20,105,172,1287,870,181,273,619
Nov-20,484,692,2076,2091,554,688,2075
Dec-20,609,2403,1565,1822,92,1757,2430
Jan-21,1391,3948,2641,2469,71,4756,4349
Feb-21,663,1518,1636,1563,21,1630,2501
Mar-21,127,383,461,488,328,371,695
Apr-21,42,70,114,129,90,112,156
May-21,12,23,49,52,28,58,51
Jun-21,7,24,122,40,19,55,62
Jul-21,63,84,334,283,84,149,221
Aug-21,182,192,388,506,206,359,513
Sep-21,215,273,426,566,280,371,610
Oct-21,221,261,476,620,273,338,620
Nov-21,268,345,504,568,335,335,647
Dec-21,237,690,456,448,6,493,628
Jan-22,,,,,,,
