Week starting,Week ending,Downloads,Deaths
13/08/2020,19/08/2020,53060,70
20/08/2020,26/08/2020,54105,70
27/08/2020,02/09/2020,42535,48
03/09/2020,09/09/2020,35593,61
10/09/2020,16/09/2020,110072,98
17/09/2020,23/09/2020,693280,177
24/09/2020,30/09/2020,13437240,253
01/10/2020,07/10/2020,2067739,341
08/10/2020,14/10/2020,1166815,502
15/10/2020,21/10/2020,967113,843
22/10/2020,28/10/2020,573868,1163
29/10/2020,04/11/2020,418834,1589
05/11/2020,11/11/2020,185169,1874
12/11/2020,18/11/2020,211459,2090
19/11/2020,25/11/2020,152180,2228
26/11/2020,02/12/2020,139320,2112
03/12/2020,09/12/2020,186943,2062
10/12/2020,16/12/2020,190294,2202
17/12/2020,23/12/2020,176578,2637
24/12/2020,30/12/2020,164835,3240
31/12/2020,06/01/2021,174089,4078
07/01/2021,13/01/2021,156979,5353
14/01/2021,20/01/2021,121871,6048
21/01/2021,27/01/2021,102032,5544
28/01/2021,03/02/2021,86832,4587
04/02/2021,10/02/2021,69292,3501
11/02/2021,17/02/2021,69377,2779
18/02/2021,24/02/2021,66252,1952
25/02/2021,03/03/2021,69563,1351
04/03/2021,10/03/2021,78258,951
11/03/2021,17/03/2021,61841,657
18/03/2021,24/03/2021,74931,438
25/03/2021,31/03/2021,66326,282
01/04/2021,07/04/2021,74536,214
08/04/2021,14/04/2021,280963,212
15/04/2021,21/04/2021,376039,145
22/04/2021,28/04/2021,306221,120
29/04/2021,05/05/2021,247667,90
06/05/2021,12/05/2021,207132,60
13/05/2021,19/05/2021,324211,45
20/05/2021,26/05/2021,434662,53
27/05/2021,02/06/2021,392095,62
03/06/2021,09/06/2021,322506,57
10/06/2021,16/06/2021,285207,67
17/06/2021,23/06/2021,303362,78
24/06/2021,30/06/2021,329747,112
01/07/2021,07/07/2021,340658,135
08/07/2021,14/07/2021,301294,194
15/07/2021,21/07/2021,296976,305
22/07/2021,28/07/2021,171394,382
29/07/2021,04/08/2021,124627,447
05/08/2021,11/08/2021,110548,454
12/08/2021,18/08/2021,102203,509
19/08/2021,25/08/2021,100534,597
26/08/2021,01/09/2021,104617,617
02/09/2021,08/09/2021,108098,700
09/09/2021,15/09/2021,105829,661
16/09/2021,22/09/2021,105113,660
23/09/2021,29/09/2021,97326,565
30/09/2021,06/10/2021,93457,502
07/10/2021,13/10/2021,77393,524
14/10/2021,20/10/2021,84564,645
21/10/2021,27/10/2021,88256,736
28/10/2021,03/11/2021,85817,828
04/11/2021,10/11/2021,81329,767
11/11/2021,17/11/2021,86559,715
18/11/2021,24/11/2021,89275,629
25/11/2021,01/12/2021,101476,632
02/12/2021,08/12/2021,117528,666
09/12/2021,15/12/2021,186125,623
16/12/2021,22/12/2021,187579,631
23/12/2021,29/12/2021,158380,666
30/12/2021,05/01/2022,189554,908
06/01/2022,12/01/2022,150025,1201
13/01/2022,19/01/2022,107921,1170
20/01/2022,26/01/2022,90282,1075
27/01/2022,02/02/2022,77980,944
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
