Week starting,Week ending,new_downloads,new_deaths,cumulative_downloads,cumulative_deaths
13/08/2020,19/08/2020,53060,70,70,53060
20/08/2020,26/08/2020,54105,70,140,107165
27/08/2020,02/09/2020,42535,48,188,149700
03/09/2020,09/09/2020,35593,61,249,185293
10/09/2020,16/09/2020,110072,98,347,295365
17/09/2020,23/09/2020,693280,177,524,988645
29/10/2020,04/11/2020,418834,1589,2113,19620254
05/11/2020,11/11/2020,185169,1874,3987,19805423
12/11/2020,18/11/2020,211459,2090,6077,20016882
19/11/2020,25/11/2020,152180,2228,8305,20169062
26/11/2020,02/12/2020,139320,2112,10417,20308382
03/12/2020,09/12/2020,186943,2062,12479,20495325
10/12/2020,16/12/2020,190294,2202,14681,20685619
17/12/2020,23/12/2020,176578,2637,17318,20862197
24/12/2020,30/12/2020,164835,3240,20558,21027032
31/12/2020,06/01/2021,174089,4078,24636,21201121
07/01/2021,13/01/2021,156979,5353,29989,21358100
14/01/2021,20/01/2021,121871,6048,36037,21479971
21/01/2021,27/01/2021,102032,5544,41581,21582003
28/01/2021,03/02/2021,86832,4587,46168,21668835
04/02/2021,10/02/2021,69292,3501,49669,21738127
11/02/2021,17/02/2021,69377,2779,52448,21807504
18/02/2021,24/02/2021,66252,1952,54400,21873756
25/02/2021,03/03/2021,69563,1351,55751,21943319
04/03/2021,10/03/2021,78258,951,56702,22021577
11/03/2021,17/03/2021,61841,657,57359,22083418
18/03/2021,24/03/2021,74931,438,57797,22158349
25/03/2021,31/03/2021,66326,282,58079,22224675
01/04/2021,07/04/2021,74536,214,58293,22299211
08/04/2021,14/04/2021,280963,212,58505,22580174
15/04/2021,21/04/2021,376039,145,58650,22956213
22/04/2021,28/04/2021,306221,120,58770,23262434
29/04/2021,05/05/2021,247667,90,58860,23510101
06/05/2021,12/05/2021,207132,60,58920,23717233
13/05/2021,19/05/2021,324211,45,58965,24041444
20/05/2021,26/05/2021,434662,53,59018,24476106
27/05/2021,02/06/2021,392095,62,59080,24868201
03/06/2021,09/06/2021,322506,57,59137,25190707
10/06/2021,16/06/2021,285207,67,59204,25475914
17/06/2021,23/06/2021,303362,78,59282,25779276
24/06/2021,30/06/2021,329747,112,59394,26109023
01/07/2021,07/07/2021,340658,135,59529,26449681
08/07/2021,14/07/2021,301294,194,59723,26750975
15/07/2021,21/07/2021,296976,305,60028,27047951
22/07/2021,28/07/2021,171394,382,60410,27219345
29/07/2021,04/08/2021,124627,447,60857,27343972
05/08/2021,11/08/2021,110548,454,61311,27454520
12/08/2021,18/08/2021,102203,509,61820,27556723
19/08/2021,25/08/2021,100534,597,62417,27657257
26/08/2021,01/09/2021,104617,617,63034,27761874
02/09/2021,08/09/2021,108098,700,63734,27869972
09/09/2021,15/09/2021,105829,661,64395,27975801
16/09/2021,22/09/2021,105113,660,65055,28080914
23/09/2021,29/09/2021,97326,565,65620,28178240
30/09/2021,06/10/2021,93457,502,66122,28271697
07/10/2021,13/10/2021,77393,524,66646,28349090
14/10/2021,20/10/2021,84564,645,67291,28433654
21/10/2021,27/10/2021,88256,736,68027,28521910
28/10/2021,03/11/2021,85817,828,68855,28607727
04/11/2021,10/11/2021,81329,767,69622,28689056
11/11/2021,17/11/2021,86559,715,70337,28775615
18/11/2021,24/11/2021,89275,629,70966,28864890
25/11/2021,01/12/2021,101476,632,71598,28966366
02/12/2021,08/12/2021,117528,666,72264,29083894
09/12/2021,15/12/2021,186125,623,72887,29270019
16/12/2021,22/12/2021,187579,631,73518,29457598
23/12/2021,29/12/2021,158380,666,74184,29615978
30/12/2021,05/01/2022,189554,908,75092,29805532
06/01/2022,12/01/2022,150025,1201,76293,29955557
13/01/2022,19/01/2022,107921,1170,77463,30063478
20/01/2022,26/01/2022,90282,1075,78538,30153760
27/01/2022,02/02/2022,77980,944,79482,30231740
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
